1.00000   0.00000
0.99910   0.00085
0.99523   0.00230
0.99033   0.00372
0.98541   0.00501
0.98049   0.00625
0.97556   0.00748
0.97063   0.00870
0.96078   0.01117
0.95093   0.01371
0.94110   0.01633
0.92146   0.02172
0.90184   0.02719
0.88220   0.03261
0.86250   0.03762
0.84271   0.04288
0.82282   0.04800
0.80269   0.05288
0.78245   0.05734
0.76231   0.06150
0.74219   0.06542
0.72206   0.06912
0.70192   0.07262
0.68177   0.07592
0.66160   0.07902
0.64142   0.08190
0.62123   0.08457
0.60102   0.08703
0.58080   0.08927
0.56056   0.09128
0.54032   0.09307
0.52006   0.09463
0.49980   0.09594
0.47952   0.09698
0.45924   0.09775
0.43896   0.09824
0.41867   0.09842
0.39838   0.09826
0.37810   0.09773
0.35781   0.09686
0.33754   0.09568
0.31727   0.09422
0.29701   0.09246
0.27676   0.09040
0.25651   0.08805
0.23628   0.08538
0.21607   0.08239
0.19587   0.07905
0.17569   0.07533
0.15554   0.07121
0.13542   0.06666
0.11533   0.06161
0.09529   0.05597
0.08529   0.05289
0.07531   0.04961
0.06535   0.04612
0.05542   0.04238
0.05046   0.04040
0.04552   0.03833
0.04059   0.03616
0.03567   0.03387
0.03077   0.03145
0.02589   0.02888
0.02104   0.02611
0.01622   0.02308
0.01431   0.02178
0.01241   0.02042
0.01147   0.01972
0.01053   0.01899
0.00959   0.01824
0.00866   0.01747
0.00773   0.01666
0.00681   0.01583
0.00590   0.01495
0.00499   0.01404
0.00410   0.01307
0.00322   0.01204
0.00237   0.01092
0.00195   0.01032
0.00154   0.00968
0.00114   0.00901
0.00075   0.00829
0.00038   0.00751
0.00004   0.00666
-0.00009   0.00629
-0.00021   0.00590
-0.00033   0.00548
-0.00044   0.00504
-0.00053   0.00457
-0.00061   0.00404
-0.00066   0.00346
-0.00068   0.00313
-0.00068   0.00278
-0.00066   0.00238
-0.00062   0.00191
-0.00052   0.00132
-0.00041   0.00091
0.00000   0.00000
0.00051   -0.00086
0.00072   -0.00121
0.00102   -0.00171
0.00126   -0.00209
0.00148   -0.00240
0.00168   -0.00268
0.00186   -0.00292
0.00221   -0.00335
0.00253   -0.00372
0.00284   -0.00405
0.00313   -0.00435
0.00341   -0.00463
0.00369   -0.00488
0.00396   -0.00512
0.00462   -0.00565
0.00525   -0.00611
0.00586   -0.00652
0.00646   -0.00689
0.00705   -0.00723
0.00763   -0.00754
0.00878   -0.00810
0.00990   -0.00859
0.01101   -0.00903
0.01210   -0.00943
0.01319   -0.00980
0.01427   -0.01014
0.01534   -0.01047
0.01641   -0.01077
0.01747   -0.01105
0.01853   -0.01132
0.01959   -0.01157
0.02169   -0.01205
0.02378   -0.01249
0.02896   -0.01345
0.03411   -0.01427
0.03923   -0.01498
0.04433   -0.01561
0.04941   -0.01618
0.05448   -0.01669
0.05954   -0.01716
0.06458   -0.01759
0.07465   -0.01836
0.08469   -0.01905
0.09471   -0.01966
0.10471   -0.02021
0.12467   -0.02112
0.14458   -0.02184
0.16446   -0.02242
0.18430   -0.02289
0.20413   -0.02324
0.22393   -0.02348
0.24371   -0.02363
0.26349   -0.02369
0.28324   -0.02366
0.30299   -0.02354
0.32273   -0.02334
0.34246   -0.02305
0.36218   -0.02267
0.38190   -0.02218
0.40162   -0.02153
0.42133   -0.02070
0.44104   -0.01972
0.46076   -0.01862
0.48048   -0.01741
0.50020   -0.01613
0.51994   -0.01477
0.53968   -0.01336
0.55944   -0.01191
0.57920   -0.01043
0.59898   -0.00894
0.61877   -0.00743
0.63858   -0.00594
0.65840   -0.00447
0.67823   -0.00304
0.69808   -0.00166
0.71794   -0.00037
0.73781   0.00079
0.75769   0.00181
0.77755   0.00264
0.79731   0.00320
0.81718   0.00334
0.83729   0.00318
0.85750   0.00282
0.87780   0.00270
0.89816   0.00223
0.91854   0.00182
0.93890   0.00133
0.94907   0.00100
0.95922   0.00060
0.96937   0.00012
0.97444   -0.00012
0.97951   -0.00037
0.98459   -0.00059
0.98967   -0.00077
0.99477   -0.00083
0.99890   -0.00055
1.00000    0.00000
