#Bernstein Polynomial order BO .................: 5
#Number of points of analitically smooth airfoil: 134
#Point spacing law .............................: 3
#Airfoil chord .................................:   0.87262000
#L.E. coordinates ..............................:   0.05902000  -0.16196000 
#Max thickness and x/c location ................:   0.15047204   0.27232625 
#Max camber and x/c location ...................:   0.23224489   0.47297729 
#     x/c       z/c upper    z/c lower    thickness    camber
  0.54495749   0.28831141   0.16498714   0.06166214   0.22664927 
  0.55550588   0.28589829   0.16360746   0.06114541   0.22475287 
  0.56611626   0.28320267   0.16192845   0.06063711   0.22256556 
  0.57678717   0.28021698   0.15994832   0.06013433   0.22008265 
  0.58751710   0.27693338   0.15766644   0.05963347   0.21729991 
  0.59830458   0.27334378   0.15508345   0.05913017   0.21421362 
  0.60914808   0.26944000   0.15220129   0.05861935   0.21082065 
  0.62004610   0.26521374   0.14902324   0.05809525   0.20711849 
  0.63099712   0.26065675   0.14555396   0.05755139   0.20310535 
  0.64199961   0.25576087   0.14179954   0.05698067   0.19878021 
  0.65305204   0.25051823   0.13776750   0.05637537   0.19414286 
  0.66415286   0.24492130   0.13346676   0.05572727   0.18919403 
  0.67530053   0.23896308   0.12890772   0.05502768   0.18393540 
  0.68649349   0.23263726   0.12410214   0.05426756   0.17836970 
  0.69773018   0.22593842   0.11906314   0.05343764   0.17250078 
  0.70900903   0.21886219   0.11380515   0.05252852   0.16633367 
  0.72032847   0.21140546   0.10834384   0.05153081   0.15987465 
  0.73168692   0.20356665   0.10269598   0.05043534   0.15313131 
  0.74308280   0.19534594   0.09687937   0.04923329   0.14611266 
  0.75451451   0.18674551   0.09091270   0.04791640   0.13882910 
  0.76598047   0.17776982   0.08481536   0.04647723   0.13129259 
  0.77747907   0.16842595   0.07860730   0.04490932   0.12351662 
  0.78900870   0.15872384   0.07230881   0.04320751   0.11551632 
  0.80056777   0.14867667   0.06594028   0.04136819   0.10730848 
  0.81215465   0.13830117   0.05952199   0.03938959   0.09891158 
  0.82376774   0.12761798   0.05307379   0.03727210   0.09034588 
  0.83540541   0.11665201   0.04661483   0.03501859   0.08163342 
  0.84706604   0.10543282   0.04016325   0.03263478   0.07279804 
  0.85874800   0.09399501   0.03373582   0.03012960   0.06386541 
  0.87044966   0.08237862   0.02734755   0.02751553   0.05486309 
  0.88216939   0.07062952   0.02101136   0.02480908   0.04582044 
  0.89390556   0.05879983   0.01473759   0.02203112   0.03676871 
  0.90565653   0.04694836   0.00853364   0.01920736   0.02774100 
  0.91742065   0.03514100   0.00240347   0.01636876   0.01877224 
  0.92919630   0.02345116  -0.00365285   0.01355201   0.00989915 
  0.94098182   0.01196019  -0.00963966   0.01079993   0.00116026 
  0.95277558   0.00075783  -0.01556619   0.00816201  -0.00740418 
  0.96457592  -0.01005742  -0.02144706   0.00569482  -0.01575224 
  0.97638120  -0.02037783  -0.02730288   0.00346253  -0.02384036 
  0.98818978  -0.03008607  -0.03316075   0.00153734  -0.03162341 
  1.00000000  -0.03905480  -0.03905480   0.00000000  -0.03905480 
